,Type,Developer,Smell,Folds,Criterion,Max_Depth,Max_Leaf_Nodes,Min_Samples_Leaf,Min_Samples_Split,Tree,Accuracy,Precision,Recall,Fmeasure
80,Type,5,MC,5,gini,,,1,2,"if ( Cyclomatic <= 2.5 ) {    return False ( 7 examples )}
else {    if ( CountLineComment <= 204.5 ) {        if ( CyclomaticModified <= 4.5 ) {            if ( CountLineCodeExe <= 9.0 ) {                return True ( 1 examples )            }
            else {                return False ( 1 examples )            }        }
        else {            return True ( 5 examples )        }    }
    else {        return False ( 1 examples )    }}",0.8833333333333332,0.9,0.9,0.8666666666666666
81,Type,6,MC,5,gini,,,1,2,return True ( 15 examples ),1.0,1.0,1.0,1.0
82,Type,55,MC,5,gini,,,1,2,return True ( 15 examples ),1.0,1.0,1.0,1.0
83,Type,60,MC,5,gini,,,1,2,return True ( 15 examples ),1.0,1.0,1.0,1.0
84,Type,13,RB,5,gini,,,1,20,return False ( 10 examples )return True ( 5 examples ),0.6666666666666666,0.0,0.0,0.0
85,Type,17,RB,5,gini,,,1,2,"if ( ACountClassBase <= 1.5 ) {    return False ( 11 examples )}
else {    if ( ACountDeclClassVariable <= 0.5 ) {        return False ( 1 examples )    }
    else {        return True ( 3 examples )    }}",0.8,0.4,0.4,0.4
86,Type,19,RB,5,gini,,,1,2,return True ( 15 examples ),1.0,1.0,1.0,1.0
87,Type,15,RB,5,gini,,,1,10,"if ( ACountClassCoupled <= 14.0 ) {    return False ( 5 examples )}
else {    if ( ACountClassCoupled <= 106.0 ) {        return False ( 1 examples )        return True ( 8 examples )    }
    else {        return False ( 1 examples )    }}",0.8833333333333332,0.8666666666666666,1.0,0.9199999999999999
88,Type,61,RB,5,gini,,,1,20,return False ( 8 examples )return True ( 7 examples ),0.5333333333333333,0.0,0.0,0.0
89,Type,94,RB,5,gini,,,1,2,return True ( 15 examples ),1.0,1.0,1.0,1.0
90,Type,112,RB,5,gini,,,1,10,"if ( ACountDeclMethodAll <= 44.5 ) {    return False ( 1 examples )    return True ( 4 examples )}
else {    return False ( 10 examples )}",0.9333333333333332,0.7,0.8,0.7333333333333333
91,Type,30,RB,5,gini,,,1,2,"if ( AAvgEssential <= 1.33999991417 ) {    return True ( 5 examples )}
else {    if ( ACountDeclClassVariable <= 4.0 ) {        if ( ACountDeclMethodAll <= 34.0 ) {            return True ( 1 examples )        }
        else {            return False ( 7 examples )        }    }
    else {        return True ( 2 examples )    }}",0.6333333333333333,0.7,0.5,0.5333333333333333
92,Type,102,RB,5,gini,,,5,2,"if ( AAvgLineBlank <= 0.425000011921 ) {    return False ( 7 examples )    return True ( 2 examples )}
else {    return False ( 1 examples )    return True ( 5 examples )}",0.6833333333333333,0.6,0.7,0.6
93,Type,18,RB,5,gini,,,1,2,return True ( 15 examples ),1.0,1.0,1.0,1.0
94,Type,111,RB,5,gini,,,1,2,return True ( 15 examples ),1.0,1.0,1.0,1.0
95,Type,16,RB,5,gini,,,1,20,return False ( 6 examples )return True ( 9 examples ),0.5999999999999999,0.5999999999999999,1.0,0.7466666666666666
96,Type,22,II,5,gini,,,1,2,return True ( 15 examples ),1.0,1.0,1.0,1.0
97,Type,25,II,5,gini,,,1,2,return True ( 15 examples ),1.0,1.0,1.0,1.0
98,Type,2,II,5,gini,,,1,2,return True ( 15 examples ),1.0,1.0,1.0,1.0
99,Type,110,II,5,gini,,,5,2,"if ( AAvgLineBlank <= 1.54499995708 ) {    if ( AAvgLineComment <= 5.03499984741 ) {        return False ( 3 examples )        return True ( 2 examples )    }
    else {        return False ( 4 examples )        return True ( 1 examples )    }}
else {    return True ( 5 examples )}",0.6833333333333333,0.6333333333333333,0.6,0.5933333333333334
100,Type,24,II,5,gini,,,1,2,"if ( ACountDeclInstanceVariable <= 11.5 ) {    if ( AAvgLineCode <= 2.74000000954 ) {        return True ( 1 examples )    }
    else {        if ( AAvgLineBlank <= 2.25999999046 ) {            return False ( 9 examples )        }
        else {            return False ( 1 examples )            return True ( 1 examples )        }    }}
else {    return True ( 3 examples )}",0.7333333333333333,0.3,0.4,0.3333333333333333
101,Type,7,II,5,gini,,,5,2,"if ( AAvgLineBlank <= 0.495000004768 ) {    return False ( 6 examples )    return True ( 1 examples )}
else {    return False ( 2 examples )    return True ( 6 examples )}",0.65,0.6666666666666666,0.7,0.6799999999999999
102,Type,111,II,5,gini,,,1,2,return True ( 15 examples ),1.0,1.0,1.0,1.0
103,Type,21,II,5,gini,,,1,20,return False ( 6 examples )return True ( 9 examples ),0.5999999999999999,0.5999999999999999,1.0,0.7466666666666666
104,Type,28,II,5,gini,,,1,20,return False ( 9 examples )return True ( 6 examples ),0.5999999999999999,0.0,0.0,0.0
105,Type,104,II,5,gini,,,1,20,return False ( 11 examples )return True ( 4 examples ),0.7499999999999999,0.0,0.0,0.0
106,Type,86,II,5,gini,,,5,2,"if ( AAvgLineCode <= 15.6300001144 ) {    return False ( 8 examples )}
else {    return False ( 2 examples )    return True ( 5 examples )}",0.7999999999999999,0.6,0.8,0.6666666666666666
107,Type,124,II,5,gini,,,1,2,return True ( 15 examples ),1.0,1.0,1.0,1.0
108,Type,97,FE,5,gini,,,1,20,return False ( 5 examples )return True ( 10 examples ),0.6666666666666666,0.6666666666666666,1.0,0.8
109,Type,58,FE,5,gini,,,1,20,return False ( 7 examples )return True ( 8 examples ),0.4666666666666666,0.4,0.8,0.5333333333333333
110,Type,84,FE,5,gini,,,1,20,return False ( 9 examples )return True ( 6 examples ),0.5999999999999999,0.0,0.0,0.0
111,Type,9,FE,5,gini,,,1,20,return False ( 8 examples )return True ( 7 examples ),0.5333333333333333,0.0,0.0,0.0
112,Type,101,FE,5,gini,,,1,10,"if ( CountLineCodeExe <= 9.5 ) {    return False ( 7 examples )    return True ( 2 examples )}
else {    return False ( 1 examples )    return True ( 5 examples )}",0.4833333333333333,0.2333333333333333,0.3,0.26
113,Type,1,FE,5,gini,,,1,20,return False ( 7 examples )return True ( 8 examples ),0.4666666666666666,0.4,0.8,0.5333333333333333
114,Type,6,FE,5,gini,,,1,2,return True ( 15 examples ),1.0,1.0,1.0,1.0
115,Type,60,FE,5,gini,,,1,20,return False ( 9 examples )return True ( 6 examples ),0.5999999999999999,0.0,0.0,0.0
116,Type,55,FE,5,gini,,,1,20,return False ( 6 examples )return True ( 9 examples ),0.5999999999999999,0.5999999999999999,1.0,0.7466666666666666
117,Type,99,FE,5,gini,,,5,2,"if ( CountPath <= 2.5 ) {    return False ( 2 examples )    return True ( 5 examples )}
else {    return False ( 7 examples )    return True ( 1 examples )}",0.7333333333333333,0.6,0.7,0.6333333333333333
118,Type,5,FE,5,gini,,,1,10,"if ( LAA <= 0.425000011921 ) {    return True ( 5 examples )}
else {    if ( CountLine <= 11.5 ) {        return False ( 1 examples )        return True ( 2 examples )    }
    else {        return False ( 7 examples )    }}",0.7333333333333333,0.5,0.5,0.5
119,Type,103,FE,5,gini,,,1,2,"if ( CountStmt <= 11.5 ) {    if ( NMO <= 1.5 ) {        return True ( 8 examples )    }
    else {        return False ( 2 examples )    }}
else {    return False ( 5 examples )}",0.5333333333333333,0.4333333333333333,0.5,0.42666666666666664
120,Type,53,PO,5,gini,,,1,2,return True ( 15 examples ),1.0,1.0,1.0,1.0
121,Type,109,PO,5,gini,,,1,2,return True ( 15 examples ),1.0,1.0,1.0,1.0
122,Type,95,PO,5,gini,,,1,2,return True ( 15 examples ),1.0,1.0,1.0,1.0
123,Type,74,PO,5,gini,,,1,2,return True ( 15 examples ),1.0,1.0,1.0,1.0
124,Type,91,PO,5,gini,,,1,20,return False ( 8 examples )return True ( 7 examples ),0.5333333333333333,0.0,0.0,0.0
125,Type,46,PO,5,gini,,,1,2,return True ( 15 examples ),1.0,1.0,1.0,1.0
126,Type,64,PO,5,gini,,,1,2,return True ( 15 examples ),1.0,1.0,1.0,1.0
127,Type,49,PO,5,gini,,,1,20,return False ( 9 examples )return True ( 6 examples ),0.5999999999999999,0.0,0.0,0.0
128,Type,105,PO,5,gini,,,1,2,return True ( 15 examples ),1.0,1.0,1.0,1.0
129,Type,52,PO,5,gini,,,1,2,return True ( 15 examples ),1.0,1.0,1.0,1.0
130,Type,51,PO,5,gini,,,1,2,return True ( 15 examples ),1.0,1.0,1.0,1.0
131,Type,47,PO,5,gini,,,1,2,return True ( 15 examples ),1.0,1.0,1.0,1.0
